userID	endDate	COALESCE(feature82,0)	COALESCE(feature98,0)
23900	2012-12-12	15	1
23900	2012-12-13	29	1
23900	2012-12-14	7	1
23900	2012-12-17	2	1
23900	2012-12-18	47	1
23900	2012-12-19	31	1
23900	2012-12-20	10	1
24300	2012-12-06	24	1
24300	2012-12-11	23	1
24300	2012-12-17	7	1
24300	2012-12-21	7	1
24500	2012-12-12	4	1
24500	2012-12-20	2	1
24700	2012-12-05	13	1
24700	2012-12-06	20	1
24700	2012-12-10	2	1
24900	2012-12-10	1	1
24900	2012-12-11	10	1
24900	2012-12-12	6	1
24900	2012-12-13	2	1
24900	2012-12-14	15	1
24900	2012-12-15	4	1
24900	2012-12-18	2	1
24900	2012-12-20	7	1
24900	2012-12-28	2	1
25100	2012-12-04	19	1
25100	2012-12-05	14	1
25100	2012-12-06	9	1
25100	2012-12-07	13	1
25100	2012-12-10	12	1
25100	2012-12-11	25	1
25100	2012-12-12	27	1
25100	2012-12-13	1	1
25100	2012-12-14	4	1
25100	2012-12-19	31	1
25200	2012-12-04	1	1
25200	2012-12-07	62	1
25200	2012-12-11	1	1
25300	2012-12-12	2	1
25300	2012-12-13	1	1
25400	2012-12-11	34	1
25500	2012-12-10	58	1
25500	2012-12-11	11	1
25600	2012-12-03	87	1
25600	2012-12-05	57	1
25600	2012-12-06	35	1
25600	2012-12-07	73	1
25600	2012-12-10	9	1
25600	2012-12-11	8	1
25600	2012-12-13	6	1
25600	2012-12-17	74	1
25700	2012-12-03	7	1
25700	2012-12-04	1	1
25700	2012-12-05	5	1
25700	2012-12-06	13	1
25700	2012-12-07	14	1
25700	2012-12-10	11	1
25700	2012-12-18	33	1
26100	2012-12-03	17	1
26100	2012-12-04	12	1
26100	2012-12-08	8	1
26100	2012-12-09	2	1
26100	2012-12-10	23	1
26100	2012-12-11	21	1
26100	2012-12-12	35	1
26100	2012-12-13	9	1
26100	2012-12-14	5	1
26100	2012-12-15	8	1
26100	2012-12-19	6	1
26100	2012-12-20	12	1
26100	2012-12-26	8	1
26200	2012-12-06	1	1
26300	2012-12-04	14	1
26300	2012-12-06	30	1
26400	2012-12-07	10	1
26400	2012-12-10	13	1
26400	2012-12-14	17	1
26400	2012-12-17	10	1
26400	2012-12-18	7	1
26400	2012-12-19	24	1
26400	2012-12-20	19	1
26600	2012-12-04	7	1
26600	2012-12-05	2	1
26600	2012-12-13	52	1
26700	2012-12-18	2	1
26800	2012-12-04	35	1
26800	2012-12-18	1	1
26900	2012-12-03	15	1
26900	2012-12-04	72	1
26900	2012-12-05	99	1
26900	2012-12-06	1	1
26900	2012-12-12	48	1
26900	2012-12-13	12	1
26900	2012-12-19	82	1
27000	2012-12-03	3	1
27000	2012-12-05	50	1
27000	2012-12-08	681	1
27000	2012-12-11	36	1
27000	2012-12-13	113	1
27000	2012-12-14	65	1
27200	2012-12-10	17	1
27200	2012-12-14	2	1
27200	2012-12-17	16	1
27200	2012-12-18	14	1
27400	2012-12-03	1	1
27400	2012-12-04	2	1
27400	2012-12-05	2	1
27400	2012-12-06	60	1
27400	2012-12-07	52	1
27400	2012-12-10	84	1
27400	2012-12-11	82	1
27400	2012-12-12	25	1
27400	2012-12-17	1	1
27400	2012-12-20	23	1
27400	2012-12-21	6	1
27600	2012-12-03	44	1
